id,veh_type,t_depart_secs,t_arrival_secs,t_traveltime_secs,origin,destiny,route_detail,route_path_num,is_attended,has_finished
855,car,15,186,171,12/11to12/10,3/9to3/8,12/11to12/10:12/10to11/10:11/10to10/10:10/10to9/10:9/10to8/10:8/10to7/10:7/10to6/10:6/10to5/10:5/10to4/10:4/10to3/10:3/10to3/9:3/9to3/8:,12,False,True
2649,car,15,179,164,5/0to4/0,1/9to1/10,5/0to4/0:4/0to3/0:3/0to2/0:2/0to1/0:1/0to1/1:1/1to1/2:1/2to1/3:1/3to1/4:1/4to1/5:1/5to1/6:1/6to1/7:1/7to1/8:1/8to1/9:1/9to1/10:,14,False,True
2424,car,16,179,163,6/8to7/8,12/15totop12,6/8to7/8:7/8to8/8:8/8to9/8:9/8to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15totop12:,14,False,True
646,motorcycle,16,309,293,0/9to0/10,13/0tobottom13,0/9to0/10:0/10to1/10:1/10to2/10:2/10to3/10:3/10to4/10:4/10to5/10:5/10to6/10:6/10to7/10:7/10to8/10:8/10to9/10:9/10to10/10:10/10to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to10/1:10/1to10/0:10/0to11/0:11/0to12/0:12/0to13/0:13/0tobottom13:,25,False,True
466,car,17,89,72,3/14to3/13,4/10to5/10,3/14to3/13:3/13to3/12:3/12to3/11:3/11to3/10:3/10to4/10:4/10to5/10:,6,False,True
1025,car,17,89,72,8/0to8/1,6/3to6/4,8/0to8/1:8/1to7/1:7/1to6/1:6/1to6/2:6/2to6/3:6/3to6/4:,6,False,True
1691,car,17,75,58,4/9to4/10,5/12to6/12,4/9to4/10:4/10to4/11:4/11to4/12:4/12to5/12:5/12to6/12:,5,False,True
114,car,17,416,399,left0to0/0,15/15totop15,left0to0/0:0/0to1/0:1/0to2/0:2/0to3/0:3/0to4/0:4/0to5/0:5/0to6/0:6/0to7/0:7/0to8/0:8/0to9/0:9/0to10/0:10/0to10/1:10/1to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15totop15:,32,False,True
2720,motorcycle,17,173,156,1/14to2/14,13/14to13/13,1/14to2/14:2/14to3/14:3/14to4/14:4/14to5/14:5/14to6/14:6/14to7/14:7/14to8/14:8/14to9/14:9/14to10/14:10/14to11/14:11/14to12/14:12/14to13/14:13/14to13/13:,13,False,True
3135,motorcycle,17,125,108,15/14to14/14,12/9to13/9,15/14to14/14:14/14to13/14:13/14to12/14:12/14to12/13:12/13to12/12:12/12to12/11:12/11to12/10:12/10to12/9:12/9to13/9:,9,False,True
1494,car,17,170,153,1/10to1/9,3/0to4/0,1/10to1/9:1/9to1/8:1/8to1/7:1/7to1/6:1/6to1/5:1/5to1/4:1/4to1/3:1/3to1/2:1/2to1/1:1/1to1/0:1/0to2/0:2/0to3/0:3/0to4/0:,13,False,True
175,car,17,419,402,left0to0/0,15/15totop15,left0to0/0:0/0to1/0:1/0to2/0:2/0to3/0:3/0to4/0:4/0to5/0:5/0to6/0:6/0to7/0:7/0to8/0:8/0to9/0:9/0to10/0:10/0to10/1:10/1to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15totop15:,32,False,True
2420,car,17,223,206,2/7to3/7,12/12to12/11,2/7to3/7:3/7to4/7:4/7to5/7:5/7to6/7:6/7to7/7:7/7to8/7:8/7to9/7:9/7to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to11/12:11/12to12/12:12/12to12/11:,16,False,True
