,taz,x,y
255260635,,-3.675284,40.497504
255260651,,-3.675911,40.498106
255260696,,-3.676479,40.497626
255260697,,-3.674322,40.498074
255260771,,-3.675015,40.49793
255260774,,-3.675791,40.497767
255260891,,-3.675533,40.498183
255260893,,-3.676356,40.500493
255260910,,-3.676821,40.498578
255260911,,-3.67575,40.4988
255261896,,-3.678312,40.508004
255261899,,-3.677968,40.507749
255261900,,-3.677816,40.507755
255261904,,-3.677607,40.508238
255261982,,-3.677708,40.507639
255262207,,-3.667912,40.51041
255262208,,-3.667753,40.510287
255262210,,-3.66762,40.509827
255262347,1000,-3.659136,40.50055
255262791,,-3.670166,40.508473
255262792,,-3.669997,40.508356
255262794,,-3.669981,40.508075
255262798,,-3.670518,40.507911
255262799,,-3.670687,40.508012
255262826,,-3.670577,40.508461
255262895,,-3.670106,40.507952
255262896,,-3.670723,40.508339
255263021,,-3.656911,40.49764
255263036,,-3.656996,40.498212
255263082,,-3.657141,40.498308
255264531,,-3.657028,40.498406
255264620,,-3.656336,40.498749
255264622,,-3.65693,40.498347
255264642,,-3.65661,40.498926
255264703,1001,-3.663622,40.496298
255264829,1001,-3.66348,40.496429
255264975,,-3.658011,40.498232
255265110,,-3.672461,40.505597
255265423,,-3.669547,40.503606
255265425,,-3.670508,40.50278
255265427,,-3.670446,40.504222
255265430,,-3.671242,40.504764
255265463,,-3.673968,40.505137
255265464,,-3.673278,40.504673
255265465,,-3.673091,40.504541
255265537,,-3.672367,40.506349
255265544,,-3.672625,40.505745
255265545,,-3.672733,40.505785
255265708,,-3.672176,40.506133
255265747,,-3.674092,40.507108
255265788,,-3.671596,40.507274
255265789,,-3.671426,40.507168
255265799,,-3.666293,40.503653
255279961,,-3.673653,40.496038
255279963,,-3.673065,40.496019
255279965,,-3.672938,40.4959
255279966,,-3.672894,40.495673
255279967,,-3.673029,40.495469
255280062,,-3.676131,40.496649
255280063,,-3.673993,40.497141
255280064,,-3.673804,40.497259
255280077,,-3.676094,40.49655
255280078,,-3.67394,40.496992
255280079,,-3.673753,40.497119
255280253,,-3.67298,40.496311
255281459,,-3.660008,40.499505
255456498,1002,-3.66457,40.513608
255456740,1002,-3.664445,40.513057
255456742,1002,-3.663938,40.51315
255456953,,-3.664754,40.517767
255457031,,-3.664999,40.517892
255457033,1002,-3.665417,40.517728
255457194,1002,-3.659786,40.513021
255457258,1002,-3.659553,40.513399
255457259,1002,-3.65935,40.513317
255458356,1002,-3.664903,40.517351
255459334,,-3.667263,40.51793
255459806,1002,-3.664693,40.513103
255460602,,-3.665348,40.511714
255460624,,-3.66612,40.512354
255460627,,-3.666276,40.512271
255460628,,-3.665426,40.511583
255461474,,-3.667903,40.514529
255483670,,-3.667778,40.502392
255483671,,-3.667669,40.502329
255483672,,-3.669452,40.503538
255484799,,-3.675052,40.496873
255626650,,-3.675878,40.495571
255626652,,-3.67565,40.495523
255626654,,-3.675673,40.49531
255626829,,-3.67561,40.495458
255626830,,-3.673865,40.495751
255626831,,-3.673817,40.49557
255626843,,-3.675843,40.495273
255627453,,-3.664853,40.504535
255627455,,-3.664978,40.504356
255627459,,-3.665432,40.504663
255627617,,-3.664719,40.50482
255627620,,-3.664831,40.504905
255627621,,-3.665367,40.50452
255627623,,-3.665118,40.504344
255627790,1000,-3.663032,40.503101
255628081,1000,-3.662939,40.502711
255628155,1001,-3.667775,40.495441
255628189,1001,-3.666386,40.496097
255628391,1001,-3.665911,40.495594
255628412,1000,-3.659247,40.500118
255628413,1000,-3.659155,40.500277
255628448,1000,-3.658888,40.500092
255628532,,-3.661016,40.498808
255628534,,-3.661168,40.498683
255628538,,-3.661502,40.498875
255628541,,-3.661047,40.498657
255628546,,-3.661015,40.498906
255628547,,-3.661253,40.499047
255628548,,-3.66125,40.498671
255628550,,-3.65887,40.497471
255628559,,-3.65899,40.497353
255629102,,-3.673662,40.503332
255629109,,-3.673471,40.503203
25587575,,-3.678999,40.51333
25587598,1005,-3.669979,40.516565
25587599,1005,-3.66981,40.51662
25587604,,-3.667947,40.517665
255961297,1003,-3.680096,40.512986
255961299,,-3.67814,40.508311
255961324,,-3.678736,40.509998
255961472,,-3.678222,40.508682
255962278,,-3.672158,40.501385
255962279,,-3.674016,40.502093
255962280,,-3.670394,40.500165
255962281,,-3.675697,40.502029
255962282,,-3.67582,40.502007
255962288,,-3.675075,40.502125
255962291,,-3.673805,40.502047
255962293,,-3.672901,40.501783
255962295,,-3.670285,40.500097
255962607,,-3.669548,40.499705
255962704,,-3.677901,40.501593
255964006,,-3.675015,40.496771
255964218,1001,-3.665929,40.495424
255964537,1000,-3.659813,40.499805
256155181,,-3.662011,40.506938
256424930,,-3.675913,40.508358
256425744,,-3.675561,40.508112
256427877,,-3.676867,40.501909
256428615,,-3.676824,40.501801
256431088,,-3.673248,40.503051
256431142,,-3.672461,40.502515
256521501,,-3.677301,40.508162
256521542,,-3.677377,40.508304
256521664,,-3.677525,40.508093
256521796,,-3.679965,40.507343
256521797,,-3.678378,40.507741
256521798,,-3.678179,40.507842
256522193,,-3.679341,40.511513
256522474,,-3.675778,40.512599
256522569,,-3.672048,40.512636
256522594,,-3.67162,40.51282
256522596,,-3.6716,40.514051
256522722,,-3.671507,40.514306
256522723,,-3.671556,40.513896
256522724,,-3.671398,40.513964
256522727,,-3.671327,40.514297
256522807,,-3.669307,40.51292
256523033,,-3.675267,40.511361
256523058,,-3.678262,40.508778
256523093,,-3.672691,40.510845
256523119,,-3.672744,40.510927
256523128,,-3.673498,40.512053
256523310,1000,-3.661577,40.5023
256523311,1000,-3.661847,40.502353
256523312,1000,-3.659669,40.500943
256523313,1000,-3.659633,40.501042
256581686,,-3.671419,40.503396
256581746,,-3.672205,40.503938
256581766,,-3.671561,40.501898
256581767,,-3.671451,40.50183
256581796,,-3.671979,40.501387
256581797,,-3.672068,40.501454
256581823,,-3.67031,40.500238
256581824,,-3.670199,40.500176
256581835,,-3.669497,40.499316
256581994,,-3.667252,40.502833
256582051,,-3.668071,40.50487
256582052,,-3.667972,40.504802
256582148,,-3.66695,40.505793
256582149,,-3.666878,40.505743
256582162,,-3.666835,40.50589
256582163,,-3.666761,40.505839
256582947,1000,-3.66233,40.502804
256667834,,-3.669034,40.504045
256668078,,-3.668933,40.503974
256668083,,-3.670413,40.502714
256668084,,-3.666199,40.503587
256668088,,-3.667181,40.502745
2575177380,1005,-3.670809,40.516604
257714627,,-3.67053,40.511938
257714770,,-3.666404,40.511077
257715018,,-3.666884,40.51166
257715642,,-3.666764,40.511078
257716010,,-3.666439,40.511725
257716628,,-3.661161,40.506956
257716876,,-3.661315,40.505589
257717215,,-3.669758,40.506023
257717216,,-3.668656,40.506958
257717290,,-3.67055,40.506562
257717291,,-3.669447,40.507488
257717343,,-3.670731,40.505197
257717380,,-3.671518,40.505742
257717610,,-3.670678,40.509396
257717612,,-3.669431,40.510458
257717661,,-3.671445,40.509924
257717662,,-3.670199,40.510974
257718170,,-3.673971,40.506125
257718336,,-3.672794,40.507087
257718337,,-3.672833,40.507575
257718338,,-3.672915,40.508831
257718494,,-3.675221,40.50788
257718616,,-3.674995,40.504248
257718888,,-3.676119,40.506036
257924717,,-3.665038,40.507451
257924749,,-3.668722,40.508119
257924754,,-3.667508,40.509135
257924757,,-3.666724,40.508603
257926415,,-3.668524,40.510459
257926419,,-3.668921,40.510131
257926450,,-3.669804,40.508799
257926481,,-3.669601,40.508711
257926514,,-3.670344,40.511709
257926521,,-3.670697,40.511368
257926543,,-3.670981,40.511419
257926549,,-3.671152,40.511618
257926688,,-3.665527,40.508416
257926705,,-3.664626,40.507797
257926746,,-3.667939,40.507573
257926849,,-3.662366,40.507166
257926868,,-3.662829,40.504082
257926974,,-3.661044,40.50516
257926975,,-3.659361,40.504745
257927145,,-3.661676,40.505046
257927349,,-3.669786,40.500681
257927599,,-3.680834,40.508243
257928161,,-3.664376,40.509448
257928171,,-3.662379,40.507661
257928176,,-3.663994,40.508373
258124601,,-3.668328,40.512569
258124602,,-3.669787,40.511328
258125756,,-3.6677,40.511928
258126144,,-3.665791,40.510619
258126146,,-3.667108,40.509493
258126444,,-3.66486,40.510188
258126595,,-3.666319,40.508953
258127180,,-3.662849,40.506584
258127282,,-3.664484,40.505211
258127490,,-3.666151,40.506348
258127571,,-3.666257,40.506421
258127587,,-3.663257,40.506245
258129988,,-3.673245,40.50029
258129989,,-3.671582,40.499148
258129991,,-3.671484,40.49908
258129992,,-3.670534,40.498426
258141928,,-3.671239,40.500739
258141929,,-3.672415,40.499728
258149632,,-3.672649,40.498084
258149633,,-3.671685,40.497426
258164859,,-3.668792,40.498152
258165088,,-3.67154,40.495826
258325119,,-3.673311,40.4961
258325120,,-3.674494,40.499615
258356518,,-3.669023,40.51081
258356560,,-3.677898,40.508371
2587070535,,-3.658093,40.500084
2590911686,,-3.656618,40.513109
2590917724,,-3.658031,40.513531
2590917726,,-3.657262,40.514706
2590917742,,-3.657666,40.51442
2590927343,,-3.66535,40.496885
259186538,,-3.659954,40.506518
259186539,,-3.661124,40.505504
259186649,,-3.662747,40.506514
259186766,,-3.664117,40.50679
259186767,,-3.665306,40.505776
259186892,,-3.672162,40.498656
259186953,,-3.674111,40.49955
259186962,,-3.672451,40.49841
259186963,,-3.673841,40.499801
259187152,,-3.674007,40.500028
259587740,,-3.668968,40.505481
259587741,,-3.667869,40.506418
259587867,,-3.667131,40.504221
259587868,,-3.666028,40.505171
259587869,,-3.668112,40.503401
259587871,,-3.669936,40.504658
259587927,,-3.670616,40.501253
259587928,,-3.669582,40.502138
259587929,,-3.668747,40.501566
259587930,,-3.668654,40.501496
259587959,,-3.672031,40.505304
259587960,,-3.672962,40.504453
259588034,,-3.680462,40.507428
259588070,,-3.678596,40.507653
259588075,,-3.678786,40.507891
259588251,,-3.668618,40.502965
259588672,,-3.669341,40.51473
259588694,,-3.6756,40.517948
259588697,1005,-3.67071,40.515662
259615488,1001,-3.666795,40.496363
259615489,1001,-3.668182,40.49547
259719960,,-3.664529,40.507722
259720008,,-3.664936,40.507379
260623128,1000,-3.662305,40.500534
260623135,,-3.666276,40.501389
260623148,,-3.663959,40.498722
260623151,,-3.673536,40.495379
260623158,1001,-3.66856,40.495627
260623161,,-3.669643,40.500656
260623168,,-3.668786,40.500595
260623169,,-3.669256,40.500387
260623175,,-3.666832,40.498786
260623351,,-3.663756,40.502529
260623652,1001,-3.665402,40.497363
260624139,,-3.66561,40.500522
260728571,,-3.668153,40.500841
260728663,,-3.681213,40.509022
262066726,,-3.678606,40.509691
262068558,,-3.654526,40.497091
262570410,,-3.661374,40.498609
262570420,1001,-3.663556,40.496563
262570423,1001,-3.663762,40.496338
262570426,1001,-3.664047,40.496472
262570428,1001,-3.663806,40.49672
262570429,1001,-3.664074,40.496342
262570430,1001,-3.664579,40.49557
262659699,,-3.665941,40.508049
262659700,,-3.667149,40.507034
262659709,,-3.667998,40.509502
262661802,,-3.664371,40.505136
262661803,,-3.666988,40.511217
262661804,,-3.667048,40.511373
262662143,,-3.671012,40.511916
262662343,,-3.663154,40.506182
262663405,,-3.67207,40.50131
2631422852,,-3.667262,40.50711
2631422858,,-3.667836,40.507663
2631422870,,-3.662704,40.503994
2631422880,,-3.665196,40.504394
2631422882,,-3.659428,40.504618
2631422883,,-3.668467,40.507942
2631422887,,-3.66986,40.50799
2631422909,,-3.667818,40.507488
2631422918,,-3.66999,40.507869
2631422920,,-3.660873,40.503678
2631422922,,-3.668621,40.508203
2636374835,,-3.674565,40.506102
2637081233,,-3.660937,40.498762
2637081247,,-3.660927,40.498975
2637081263,1000,-3.659902,40.499752
2637081266,,-3.65661,40.502551
2637081270,,-3.662427,40.498135
2637081275,,-3.661538,40.498485
2637091810,,-3.660108,40.499449
2637091813,,-3.66079,40.49927
2637091816,,-3.655923,40.51656
2637091818,,-3.660217,40.499598
2637091825,,-3.660555,40.498523
2637091833,,-3.659717,40.499308
2637095179,,-3.655943,40.516437
2637095183,,-3.65578,40.517629
264753853,,-3.680645,40.508282
264753883,,-3.68058,40.507706
264845295,,-3.679856,40.512731
265666383,,-3.668782,40.509663
265666386,,-3.668619,40.509546
265670812,,-3.679081,40.510887
265670813,,-3.678836,40.510284
265670831,,-3.677641,40.508057
265673149,,-3.673263,40.508818
265673152,,-3.670778,40.508369
265673153,,-3.670185,40.508002
265673626,,-3.672741,40.504698
265675856,,-3.664094,40.505366
265675857,,-3.664201,40.505437
2666723745,,-3.664844,40.499613
266763406,,-3.673157,40.508956
266764452,,-3.679916,40.50724
266764457,,-3.677897,40.507701
2675567077,,-3.677719,40.50778
268043485,,-3.665402,40.496205
2686618856,,-3.652138,40.49611
2686618858,,-3.652007,40.496234
2686618862,,-3.652028,40.496535
2686618864,,-3.653007,40.496656
2686618866,,-3.652869,40.496783
269091672,,-3.67496,40.511489
269091674,,-3.6742,40.510369
272110761,,-3.660777,40.49849
272110771,,-3.659085,40.495619
272110772,,-3.659216,40.4955
276738160,,-3.676743,40.509368
276738164,,-3.677482,40.510485
276741480,,-3.671752,40.507359
283577948,,-3.65235,40.496244
283578024,,-3.654816,40.495273
283578045,,-3.653195,40.496776
283578100,,-3.655655,40.495801
283578151,,-3.653235,40.498785
283578242,,-3.652222,40.49637
283578243,,-3.653065,40.496903
283578270,,-3.652351,40.497911
283578291,,-3.652156,40.498744
283578320,,-3.652787,40.50061
