,taz,x,y
4576234822,,-3.687165,40.421219
4576234823,,-3.687263,40.421152
4576234824,,-3.687076,40.42114
4576234828,,-3.685953,40.421103
554166728,1000,-3.690973,40.425277
942080445,,-3.688345,40.422537
942080448,1004,-3.688549,40.42119
942080449,,-3.684355,40.422398
942080459,,-3.684185,40.422332
942080469,,-3.688375,40.424037
942080477,1000,-3.689957,40.424449
996183822,,-3.686301,40.423872
996184088,,-3.686006,40.423857
