tail.node	head.node	capacity..veh.h.	length..miles.	fftt.min.	Power	B	speed.limit..mph.
N20953243	N20953244	9999	138.06	9.93952483801296	0.15	4	13.89
N20953243	N329991000	9999	33.92	2.442044636429085	0.15	4	13.89
N20953244	N21627170	9999	58.55	4.2152627789776815	0.15	4	13.89
N20953244	N26784118	9999	108.09	7.781857451403887	0.15	4	13.89
N20953244	N4018314904	9999	122.13	8.792656587473001	0.15	4	13.89
N21527321	N1957490899	9999	21.56	1.552195824334053	0.15	4	13.89
N21527321	N2383701846	9999	0.2	0.007199424046076314	0.15	4	27.78
N21627170	N389139057	9999	9.04	0.6508279337652987	0.15	4	13.89
N21627306	N389139057	9999	8.68	0.624910007199424	0.15	4	13.89
N2377018002	N1278838937	9999	103.91	7.480921526277897	0.15	4	13.89
N2383701843	N26513091	9999	80.91	5.825053995680345	0.15	4	13.89
N2383701844	N2383701843	9999	50.42	3.629949604031677	0.15	4	13.89
N2383701845	N1209330640	9999	0.2	0.014398848092152628	0.15	4	13.89
N2383701845	N2383701844	9999	128.11	9.223182145428366	0.15	4	13.89
N2383701846	N1505184312	9999	13.8	0.9935205183585312	0.15	4	13.89
N2383701846	N21527321	9999	0.2	0.007199424046076314	0.15	4	27.78
N2383701846	N329991544	9999	15.67	1.1281497480201583	0.15	4	13.89
N2383701847	N1505184314	9999	96.41	6.940964722822174	0.15	4	13.89
N2383701847	N255289006	9999	0.2	0.014398848092152628	0.15	4	13.89
N2383701847	N25552412	9999	117.11	8.431245500359971	0.15	4	13.89
N2383701848	N1505184313	9999	12.05	0.8675305975521959	0.15	4	13.89
N2383701848	N1505184314	9999	14.46	1.041036717062635	0.15	4	13.89
N2383701848	N1505184315	9999	23.36	1.6817854571634268	0.15	4	13.89
N2383701848	N1505184316	9999	4.38	0.3153347732181425	0.15	4	13.89
N2506473177	N21627306	9999	28.77	2.071274298056156	0.15	4	13.89
N2506473177	N329991195	9999	29.45	2.1202303815694745	0.15	4	13.89
N255289006	N255289007	9999	101.74	7.324694024478041	0.15	4	13.89
N255289006	N29484172	9999	154.48	11.121670266378686	0.15	4	13.89
N255289007	N1209330640	9999	71.03	5.1137508999280055	0.15	4	13.89
N255289007	N942080459	9999	96.18	6.924406047516199	0.15	4	13.89
N255522956	N329991283	9999	144.6	10.41036717062635	0.15	4	13.89
N25552412	N1209330640	9999	0.2	0.014398848092152628	0.15	4	13.89
N25552412	N2383701845	9999	0.2	0.014398848092152628	0.15	4	13.89
N25552416	N1505184328	9999	14.76	1.062634989200864	0.15	4	13.89
N25552416	N1505184330	9999	0.2	0.014398848092152628	0.15	4	13.89
N25552416	N1505184331	9999	12.5	0.8999280057595392	0.15	4	13.89
N25552418	N1505184331	9999	90.1	6.486681065514758	0.15	4	13.89
N25552418	N1950481115	9999	9.43	0.6789056875449964	0.15	4	13.89
N25552418	N25552421	9999	101.1	7.278617710583153	0.15	4	13.89
N25552421	N25552418	9999	101.22	7.287257019438446	0.15	4	13.89
N25552421	N2620304856	9999	18.97	1.3657307415406763	0.15	4	13.89
N25552421	N2620304879	9999	15.07	1.0849532037437004	0.15	4	13.89
N25552423	N1950481116	9999	12.78	0.9200863930885528	0.15	4	13.89
N25552423	N1950481126	9999	15.99	1.1511879049676026	0.15	4	13.89
N25552423	N2620304879	9999	87.76	6.318214542836572	0.15	4	13.89
N25552425	N1950481116	9999	82.0	5.903527717782577	0.15	4	13.89
N25552425	N1950481125	9999	90.73	6.532037437005039	0.15	4	13.89
N25552425	N1981925767	9999	8.85	0.6371490280777538	0.15	4	13.89
N25552446	N1278839005	9999	91.34	6.575953923686105	0.15	4	13.89
N25552446	N1950481125	9999	5.49	0.3952483801295896	0.15	4	13.89
N25552446	N1950481127	9999	11.28	0.8120950323974081	0.15	4	13.89
N25552447	N1555729961	9999	3.09	0.22246220302375808	0.15	4	13.89
N25552447	N2377018002	9999	26.38	1.8992080633549315	0.15	4	13.89
N25552447	N25552448	9999	4.28	0.30813534917206625	0.15	4	13.89
N25552448	N25552449	9999	91.84	6.611951043916488	0.15	4	13.89
N25552449	N3428425014	9999	43.54	3.134629229661627	0.15	4	13.89
N25552450	N25903296	9999	4.5	0.3239740820734341	0.15	4	13.89
N25901895	N25901914	9999	120.75	8.693304535637147	0.15	4	13.89
N25901895	N3418035825	9999	60.99	4.390928725701944	0.15	4	13.89
N25901897	N942080448	9999	92.37	6.650107991360692	0.15	4	13.89
N25901898	N25901851	9999	31.3	2.2534197264218863	0.15	4	13.89
N25901898	N25901897	9999	124.38	8.954643628509716	0.15	4	13.89
N25901914	N25901897	9999	32.68	2.3527717782577398	0.15	4	13.89
N25901914	N25901917	9999	70.55	5.079193664506839	0.15	4	13.89
N25901917	N25901921	9999	32.65	2.3506119510439163	0.15	4	13.89
N25901919	N1900998827	9999	35.91	2.5853131749460037	0.15	4	13.89
N25901919	N25901917	9999	113.26	8.154067674586033	0.15	4	13.89
N25901921	N3418035827	9999	93.74	6.748740100791937	0.15	4	13.89
N25901925	N1278838932	9999	31.83	2.2915766738660905	0.15	4	13.89
N25901925	N25903309	9999	5.42	0.3902087832973362	0.15	4	13.89
N25901935	N1278839084	9999	4.18	0.3009359251259899	0.15	4	13.89
N25901935	N345538472	9999	25.21	1.8149748020158387	0.15	4	13.89
N25901936	N1278839092	9999	22.09	1.5903527717782575	0.15	4	13.89
N25901936	N554166728	9999	18.67	1.344132469402448	0.15	4	13.89
N25901940	N25901935	9999	15.21	1.0950323974082077	0.15	4	13.89
N25901948	N1915012230	9999	9.17	0.6601871850251979	0.15	4	13.89
N25901948	N25901958	9999	21.05	1.515478761699064	0.15	4	13.89
N25901950	N1278838994	9999	1.26	0.09071274298056156	0.15	4	13.89
N25901950	N25903296	9999	0.2	0.014398848092152628	0.15	4	13.89
N25901951	N389139048	9999	2.06	0.14830813534917206	0.15	4	13.89
N25901958	N345537803	9999	62.18	4.476601871850252	0.15	4	13.89
N25903291	N389139048	9999	8.99	0.6472282217422606	0.15	4	13.89
N25903296	N1278838994	9999	2.09	0.15046796256299494	0.15	4	13.89
N25903296	N3418035846	9999	0.1	0.007199424046076314	0.15	4	13.89
N25903298	N1278839038	9999	65.83	4.739380849532037	0.15	4	13.89
