index;BIN;alcalahenares_3L3h_nomaps_timeALL_taz5-taz50_01;alcalahenares_XL_mutraff_tele60_uni5x16_timeALL_fulltraffic_logit100
0;0;1675,000;1741,000
1;200;3675,000;4368,000
2;400;1314,000;1920,000
3;600;919,000;1007,000
4;800;595,000;726,000
5;1000;522,000;633,000
6;1200;461,000;504,000
7;1400;478,000;481,000
8;1600;391,000;445,000
9;1800;371,000;450,000
10;2000;392,000;441,000
11;2200;410,000;446,000
12;2400;383,000;439,000
13;2600;391,000;364,000
14;2800;421,000;403,000
15;3000;325,000;392,000
16;3200;332,000;436,000
17;3400;394,000;268,000
18;3600;330,000;271,000
19;3800;285,000;247,000
20;4000;253,000;199,000
21;4200;379,000;230,000
22;4400;311,000;191,000
23;4600;291,000;165,000
24;4800;253,000;168,000
25;5000;233,000;123,000
26;5200;246,000;97,000
27;5400;207,000;66,000
28;5600;171,000;46,000
29;5800;154,000;33,000
30;6000;166,000;29,000
31;6200;162,000;47,000
32;6400;138,000;182,000
33;6600;75,000;544,000
34;6800;67,000;274,000
35;7000;49,000;71,000
36;7200;42,000;0,000
37;7400;182,000;0,000
38;7600;260,000;0,000
39;7800;160,000;0,000
40;8000;31,000;0,000
41;8200;1,000;0,000
