index;BIN;alcalahenares_3L3h_nomaps_timeALL_taz5-taz50_01;alcalahenares_XL_mutraff_tele60_uni5x16_timeALL_fulltraffic_logit10
0;0;1675,000;1699,000
1;200;3675,000;3615,000
2;400;1314,000;1387,000
3;600;919,000;812,000
4;800;595,000;637,000
5;1000;522,000;555,000
6;1200;461,000;458,000
7;1400;478,000;411,000
8;1600;391,000;411,000
9;1800;371,000;421,000
10;2000;392,000;382,000
11;2200;410,000;366,000
12;2400;383,000;357,000
13;2600;391,000;387,000
14;2800;421,000;387,000
15;3000;325,000;428,000
16;3200;332,000;371,000
17;3400;394,000;365,000
18;3600;330,000;374,000
19;3800;285,000;343,000
20;4000;253,000;321,000
21;4200;379,000;374,000
22;4400;311,000;371,000
23;4600;291,000;283,000
24;4800;253,000;186,000
25;5000;233,000;169,000
26;5200;246,000;185,000
27;5400;207,000;140,000
28;5600;171,000;180,000
29;5800;154,000;202,000
30;6000;166,000;188,000
31;6200;162,000;155,000
32;6400;138,000;119,000
33;6600;75,000;95,000
34;6800;67,000;85,000
35;7000;49,000;59,000
36;7200;42,000;36,000
37;7400;182,000;15,000
38;7600;260,000;22,000
39;7800;160,000;25,000
40;8000;31,000;200,000
41;8200;1,000;24,000
