index;BIN;PROB
0;1,000;0,000
1;2,000;0,000
2;3,000;0,001
3;4,000;0,001
4;5,000;0,001
5;6,000;0,002
6;7,000;0,002
7;8,000;0,002
8;9,000;0,003
9;10,000;0,003
10;11,000;0,003
11;12,000;0,004
12;13,000;0,004
13;14,000;0,005
14;15,000;0,005
15;16,000;0,005
16;17,000;0,005
17;18,000;0,006
18;19,000;0,006
19;20,000;0,007
20;21,000;0,007
21;22,000;0,008
22;23,000;0,009
23;24,000;0,009
24;25,000;0,009
25;26,000;0,010
26;27,000;0,010
27;28,000;0,011
28;29,000;0,012
29;30,000;0,013
30;31,000;0,013
31;32,000;0,014
32;33,000;0,015
33;34,000;0,016
34;35,000;0,017
35;36,000;0,018
36;37,000;0,018
37;38,000;0,019
38;39,000;0,020
39;40,000;0,021
40;41,000;0,022
41;42,000;0,022
42;43,000;0,023
43;44,000;0,024
44;45,000;0,025
45;46,000;0,026
46;47,000;0,027
47;48,000;0,028
48;49,000;0,029
49;50,000;0,030
50;51,000;0,031
51;52,000;0,032
52;53,000;0,033
53;54,000;0,034
54;55,000;0,036
55;56,000;0,037
56;57,000;0,038
57;58,000;0,039
58;59,000;0,041
59;60,000;0,043
60;61,000;0,044
61;62,000;0,045
62;63,000;0,047
63;64,000;0,048
64;65,000;0,049
65;66,000;0,052
66;67,000;0,053
67;68,000;0,056
68;69,000;0,058
69;70,000;0,060
70;71,000;0,063
71;72,000;0,065
72;73,000;0,068
73;74,000;0,071
74;75,000;0,074
75;76,000;0,077
76;77,000;0,080
77;78,000;0,083
78;79,000;0,086
79;80,000;0,089
80;81,000;0,093
81;82,000;0,097
82;83,000;0,101
83;84,000;0,106
84;85,000;0,113
85;86,000;0,119
86;87,000;0,124
87;88,000;0,130
88;89,000;0,138
89;90,000;0,145
90;91,000;0,153
91;92,000;0,162
92;93,000;0,172
93;94,000;0,185
94;95,000;0,197
95;96,000;0,211
96;97,000;0,227
97;98,000;0,249
98;99,000;0,275
99;100,000;0,309
100;101,000;0,336
101;102,000;0,354
102;103,000;0,368
103;104,000;0,381
104;105,000;0,393
105;106,000;0,402
106;107,000;0,411
107;108,000;0,418
108;109,000;0,426
109;110,000;0,436
110;111,000;0,444
111;112,000;0,458
112;113,000;0,488
113;114,000;0,501
114;115,000;0,513
115;116,000;0,524
116;117,000;0,535
117;118,000;0,545
118;119,000;0,555
119;120,000;0,564
120;121,000;0,575
121;122,000;0,586
122;123,000;0,597
123;124,000;0,609
124;125,000;0,619
125;126,000;0,628
126;127,000;0,637
127;128,000;0,647
128;129,000;0,657
129;130,000;0,668
130;131,000;0,676
131;132,000;0,685
132;133,000;0,695
133;134,000;0,702
134;135,000;0,710
135;136,000;0,718
136;137,000;0,726
137;138,000;0,733
138;139,000;0,740
139;140,000;0,748
140;141,000;0,755
141;142,000;0,763
142;143,000;0,771
143;144,000;0,778
144;145,000;0,785
145;146,000;0,793
146;147,000;0,800
147;148,000;0,807
148;149,000;0,813
149;150,000;0,821
150;151,000;0,828
151;152,000;0,834
152;153,000;0,841
153;154,000;0,847
154;155,000;0,853
155;156,000;0,858
156;157,000;0,863
157;158,000;0,868
158;159,000;0,873
159;160,000;0,877
160;161,000;0,882
161;162,000;0,887
162;163,000;0,892
163;164,000;0,897
164;165,000;0,901
165;166,000;0,906
166;167,000;0,912
167;168,000;0,917
168;169,000;0,921
169;170,000;0,927
170;171,000;0,931
171;172,000;0,936
172;173,000;0,941
173;174,000;0,945
174;175,000;0,950
175;176,000;0,954
176;177,000;0,958
177;178,000;0,961
178;179,000;0,964
179;180,000;0,967
180;181,000;0,971
181;182,000;0,973
182;183,000;0,976
183;184,000;0,979
184;185,000;0,983
185;186,000;0,986
186;187,000;0,988
187;188,000;0,991
188;189,000;0,993
189;190,000;0,995
190;191,000;0,997
191;192,000;0,998
192;193,000;0,999
193;194,000;0,999
194;195,000;1,000
195;196,000;1,000
196;197,000;1,000
197;198,000;1,000
198;199,000;1,000
