index;BIN;PROB
0;1,000;0,000
1;2,000;0,001
2;3,000;0,001
3;4,000;0,002
4;5,000;0,002
5;6,000;0,002
6;7,000;0,003
7;8,000;0,003
8;9,000;0,004
9;10,000;0,004
10;11,000;0,005
11;12,000;0,005
12;13,000;0,006
13;14,000;0,006
14;15,000;0,007
15;16,000;0,008
16;17,000;0,008
17;18,000;0,009
18;19,000;0,010
19;20,000;0,010
20;21,000;0,010
21;22,000;0,011
22;23,000;0,012
23;24,000;0,012
24;25,000;0,013
25;26,000;0,014
26;27,000;0,015
27;28,000;0,016
28;29,000;0,017
29;30,000;0,018
30;31,000;0,019
31;32,000;0,020
32;33,000;0,020
33;34,000;0,021
34;35,000;0,022
35;36,000;0,023
36;37,000;0,024
37;38,000;0,025
38;39,000;0,026
39;40,000;0,027
40;41,000;0,027
41;42,000;0,029
42;43,000;0,030
43;44,000;0,030
44;45,000;0,031
45;46,000;0,033
46;47,000;0,034
47;48,000;0,036
48;49,000;0,037
49;50,000;0,038
50;51,000;0,040
51;52,000;0,041
52;53,000;0,043
53;54,000;0,045
54;55,000;0,046
55;56,000;0,048
56;57,000;0,050
57;58,000;0,051
58;59,000;0,053
59;60,000;0,055
60;61,000;0,056
61;62,000;0,059
62;63,000;0,061
63;64,000;0,064
64;65,000;0,066
65;66,000;0,068
66;67,000;0,069
67;68,000;0,072
68;69,000;0,074
69;70,000;0,077
70;71,000;0,081
71;72,000;0,084
72;73,000;0,087
73;74,000;0,090
74;75,000;0,094
75;76,000;0,097
76;77,000;0,101
77;78,000;0,105
78;79,000;0,110
79;80,000;0,114
80;81,000;0,117
81;82,000;0,121
82;83,000;0,125
83;84,000;0,130
84;85,000;0,136
85;86,000;0,141
86;87,000;0,147
87;88,000;0,154
88;89,000;0,162
89;90,000;0,171
90;91,000;0,178
91;92,000;0,189
92;93,000;0,202
93;94,000;0,214
94;95,000;0,231
95;96,000;0,250
96;97,000;0,274
97;98,000;0,306
98;99,000;0,348
99;100,000;0,407
100;101,000;0,450
101;102,000;0,484
102;103,000;0,539
103;104,000;0,561
104;105,000;0,581
105;106,000;0,598
106;107,000;0,614
107;108,000;0,629
108;109,000;0,642
109;110,000;0,658
110;111,000;0,671
111;112,000;0,684
112;113,000;0,697
113;114,000;0,709
114;115,000;0,722
115;116,000;0,734
116;117,000;0,748
117;118,000;0,759
118;119,000;0,769
119;120,000;0,781
120;121,000;0,790
121;122,000;0,799
122;123,000;0,809
123;124,000;0,817
124;125,000;0,826
125;126,000;0,834
126;127,000;0,842
127;128,000;0,850
128;129,000;0,856
129;130,000;0,864
130;131,000;0,871
131;132,000;0,877
132;133,000;0,883
133;134,000;0,889
134;135,000;0,894
135;136,000;0,898
136;137,000;0,902
137;138,000;0,907
138;139,000;0,913
139;140,000;0,918
140;141,000;0,923
141;142,000;0,928
142;143,000;0,932
143;144,000;0,936
144;145,000;0,939
145;146,000;0,942
146;147,000;0,945
147;148,000;0,948
148;149,000;0,951
149;150,000;0,953
150;151,000;0,956
151;152,000;0,959
152;153,000;0,962
153;154,000;0,964
154;155,000;0,966
155;156,000;0,969
156;157,000;0,971
157;158,000;0,973
158;159,000;0,975
159;160,000;0,976
160;161,000;0,977
161;162,000;0,978
162;163,000;0,979
163;164,000;0,981
164;165,000;0,982
165;166,000;0,983
166;167,000;0,984
167;168,000;0,985
168;169,000;0,986
169;170,000;0,987
170;171,000;0,988
171;172,000;0,989
172;173,000;0,990
173;174,000;0,991
174;175,000;0,992
175;176,000;0,992
176;177,000;0,993
177;178,000;0,994
178;179,000;0,994
179;180,000;0,995
180;181,000;0,995
181;182,000;0,996
182;183,000;0,996
183;184,000;0,997
184;185,000;0,997
185;186,000;0,998
186;187,000;0,998
187;188,000;0,999
188;189,000;0,999
189;190,000;0,999
190;191,000;0,999
191;192,000;1,000
192;193,000;1,000
193;194,000;1,000
194;195,000;1,000
195;196,000;1,000
196;197,000;1,000
197;198,000;1,000
198;199,000;1,000
