ward,division,ballot_type,office,candidate,party,vote_count
1,3,"A","DISTRICT COUNCIL - 1ST DIST","MARK F SQUILLA","DEMOCRATIC",1
1,3,"A","DISTRICT COUNCIL - 1ST DIST","Write In",,0
1,3,"M","DISTRICT COUNCIL - 1ST DIST","MARK F SQUILLA","DEMOCRATIC",65
1,3,"M","DISTRICT COUNCIL - 1ST DIST","MARK F SQUILLA","DEMOCRATIC",69
1,3,"M","DISTRICT COUNCIL - 1ST DIST","Write In",,0
1,3,"M","DISTRICT COUNCIL - 1ST DIST","Write In",,0
1,3,"P","DISTRICT COUNCIL - 1ST DIST","MARK F SQUILLA","DEMOCRATIC",2
1,3,"P","DISTRICT COUNCIL - 1ST DIST","Write In",,0
