ID,FILE,GROUP/OBJECTIVE,LABEL,SPECIAL FEATURE,TWM,NET,LANES,LOGIT,DEMAND,TRAFFIC,ROUTE_ALGO,TELEPORTING,TWM_FUNC,TWM_SIZE,EXPNUM,PAPERS,COMMENTS
2605,alcalahenares_3L3h_nomaps_timeALL_taz5-taz50S_fore1-1-4-10_01_190627_173503,Alcala H - 3L3h - Analizar accidente trafico Taz5 y Taz50 y forecast 1-1-4-10,alcalahenares(3L3h)  No TWM -  -  No incidents,No incidents,No TWM,alcalahenares,OpenStreet,,3L3h,taz5-taz50,Dijkstra,60,,,1,,Error: Tiene TELE60
2606,alcalahenares_3L3h_nomaps_timeALL_taz5-taz50S_fore1-1-4-10_incident_01_190628_000434,Alcala H - 3L3h - Analizar accidente trafico Taz5 y Taz50 y forecast 1-1-4-10,"alcalahenares(3L3h)  No TWM -  -  Forecast(1-1-4-10) + Incident entre T(2000,4800)","Forecast(1-1-4-10) + Incident entre T(2000,4800)",No TWM,alcalahenares,OpenStreet,,3L3h,taz5-taz50,Dijkstra,60,,,1,,Error: Tiene TELE60
2607,alcalahenares_3L3h_nomaps_timeALL_taz5-taz50S_fore2-3-4-10_01_190628_083335,Alcala H - 3L3h - Analizar accidente trafico Taz5 y Taz50 y forecast 2-3-4-10,alcalahenares(3L3h)  No TWM -  -  Forecast(1-1-4-10) + No incidents,Forecast(1-1-4-10) + No incidents,No TWM,alcalahenares,OpenStreet,,3L3h,taz5-taz50,Dijkstra,60,,,1,,Error: Tiene TELE60
2608,alcalahenares_3L3h_nomaps_timeALL_taz5-taz50S_fore2-3-4-10_incident_01_190628_182504,Alcala H - 3L3h - Analizar accidente trafico Taz5 y Taz50 y forecast 2-3-4-10,"alcalahenares(3L3h)  No TWM -  -  Forecast(2-3-4-10) + Incident entre T(2000,4800)","Forecast(2-3-4-10) + Incident entre T(2000,4800)",No TWM,alcalahenares,OpenStreet,,3L3h,taz5-taz50,Dijkstra,60,,,1,,Error: Tiene TELE60
2609,alcalahenares_3L3h_nomaps_timeALL_taz5-taz50S_fore1-1-4-10_incident_alfa5-step5_01_190630_110423,Alcala H - 3L3h - Analizar accidente trafico Taz5 y Taz50 y forecast 1-1-4-10,"alcalahenares(3L3h)  TWM -  -  Forecast(2-3-4-10) + Incident entre T(2000,4800)","Forecast(2-3-4-10) + Incident entre T(2000,4800)",TWM,alcalahenares,OpenStreet,,3L3h,taz5-taz50,Dijkstra,60,,,1,,Error: Tiene TELE60
2620,alcalahenares_3L3h_nomaps_timeALL_fulltraffic_01_190702_002658,Alcala H - 3L3h - No Tele y TWM,alcalahenares(3L3h)   -  -  ,,,alcalahenares,OpenStreet,,3L3h,fulltraffic,Dijkstra,No,,,1,,
2621,alcalahenares_3L3h_mutraff_uni5x16_timeALL_fulltraffic_logit10_01_190702_012858,Alcala H - 3L3h - No Tele y TWM,alcalahenares(3L3h) 16  - uniform(5) - logit10 ,,,alcalahenares,OpenStreet,logit10,3L3h,fulltraffic,Dijkstra,No,uniform(5),16,1,,
2622,alcalahenares_3L3h_mutraff_uni5x16_timeALL_fulltraffic_logit20_01_190702_021107,Alcala H - 3L3h - No Tele y TWM,alcalahenares(3L3h) 16  - uniform(5) - logit20 ,,,alcalahenares,OpenStreet,logit20,3L3h,fulltraffic,Dijkstra,No,uniform(5),16,1,,
2623,alcalahenares_3L3h_mutraff_uni5x16_timeALL_fulltraffic_logit50_01_190702_030022,Alcala H - 3L3h - No Tele y TWM,alcalahenares(3L3h) 16  - uniform(5) - logit50 ,,,alcalahenares,OpenStreet,logit50,3L3h,fulltraffic,Dijkstra,No,uniform(5),16,1,,
2624,alcalahenares_3L3h_mutraff_uni5x16_timeALL_fulltraffic_logit100_01_190702_065406,Alcala H - 3L3h - No Tele y TWM,alcalahenares(3L3h) 16  - uniform(5) - logit100 ,,,alcalahenares,OpenStreet,logit100,3L3h,fulltraffic,Dijkstra,No,uniform(5),16,1,,
2625,alcalahenares_3L3h_mutraff_uni5x8_timeALL_fulltraffic_logit10_01_190702_074302,Alcala H - 3L3h - No Tele y TWM,alcalahenares(3L3h) 8  - uniform(5) - logit10 ,,,alcalahenares,OpenStreet,logit10,3L3h,fulltraffic,Dijkstra,No,uniform(5),8,1,,
2626,alcalahenares_3L3h_mutraff_uni5x8_timeALL_fulltraffic_logit20_01_190702_082003,Alcala H - 3L3h - No Tele y TWM,alcalahenares(3L3h) 8  - uniform(5) - logit20 ,,,alcalahenares,OpenStreet,logit20,3L3h,fulltraffic,Dijkstra,No,uniform(5),8,1,,
2627,alcalahenares_3L3h_mutraff_uni5x8_timeALL_fulltraffic_logit100_01_190702_091406,Alcala H - 3L3h - No Tele y TWM,alcalahenares(3L3h) 8  - uniform(5) - logit50 ,,,alcalahenares,OpenStreet,logit50,3L3h,fulltraffic,Dijkstra,No,uniform(5),8,1,,
2628,alcalahenares_3L3h_mutraff_uni5x8_timeALL_fulltraffic_logit50_01_190702_095547,Alcala H - 3L3h - No Tele y TWM,alcalahenares(3L3h) 8  - uniform(5) - logit100 ,,,alcalahenares,OpenStreet,logit100,3L3h,fulltraffic,Dijkstra,No,uniform(5),8,1,,
2630,alcalahenares_L3h_nomaps_timeALL_fulltraffic_01_190702_084640,Alcala H - L3h - No Tele y TWM,alcalahenares(L3h)   -  -  ,,,alcalahenares,OpenStreet,,L3h,fulltraffic,Dijkstra,No,,,1,,
2631,alcalahenares_L3h_mutraff_uni5x16_timeALL_fulltraffic_logit50_01_190702_090540,Alcala H - L3h - No Tele y TWM,alcalahenares(L3h) 16  - uniform(5) - logit50 ,,,alcalahenares,OpenStreet,logit50,L3h,fulltraffic,Dijkstra,No,uniform(5),16,1,,
2632,alcalahenares_L3h_mutraff_uni5x8_timeALL_fulltraffic_logit50_01_190702_093202,Alcala H - L3h - No Tele y TWM,alcalahenares(L3h) 8  - uniform(5) - logit50 ,,,alcalahenares,OpenStreet,logit50,L3h,fulltraffic,Dijkstra,No,uniform(5),8,1,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
,,,()   -  -  ,,,,,,,,,,,,,,
