,taz,x,y
1505106030,,-3.679299,40.432687
1505106032,,-3.679469,40.432696
1505106033,,-3.679727,40.432709
1505106035,,-3.679458,40.432828
1505106036,,-3.679587,40.432838
1505106038,,-3.679395,40.43358
1505106039,,-3.679528,40.433585
1505106041,,-3.679258,40.433677
1505106043,,-3.679386,40.433684
1505106044,,-3.679687,40.433699
1505106046,,-3.679509,40.433819
1505106049,,-3.679461,40.434278
1505106053,,-3.679429,40.43461
1505106054,,-3.679307,40.434618
1505106055,,-3.679134,40.434736
1505106056,,-3.679298,40.434747
1505106058,,-3.679576,40.434763
1505106061,,-3.679282,40.434918
1505106062,,-3.679405,40.434916
1505106064,1007,-3.675207,40.435399
1505106065,1007,-3.679206,40.435828
1505106066,1007,-3.679068,40.435948
1505106067,1007,-3.679192,40.435954
1505106068,1007,-3.679417,40.435968
1505106070,1007,-3.679185,40.436073
1505106071,1007,-3.679317,40.436077
1505106081,1007,-3.677285,40.437118
1505106084,1007,-3.677619,40.437215
1505106086,1007,-3.677069,40.437249
1505106087,1007,-3.679083,40.437288
1505106088,1007,-3.679214,40.437289
1505106093,1007,-3.678886,40.437397
1505106096,1007,-3.67938,40.437414
1505106097,1007,-3.677318,40.437394
1505106098,1007,-3.677933,40.437437
1505106101,1007,-3.678879,40.43749
1505106104,1007,-3.679066,40.437497
1505106106,1007,-3.679371,40.437513
1505106108,1007,-3.677756,40.437556
1505106110,1007,-3.679055,40.437619
1505106113,1007,-3.677479,40.437651
1505106117,1007,-3.67918,40.437628
1505106119,1007,-3.677144,40.437602
1505106122,1007,-3.677374,40.437761
1505106124,1007,-3.678407,40.438231
1505106127,1007,-3.678967,40.43851
1505106128,1007,-3.679099,40.438521
1505106129,1007,-3.675138,40.438575
1505106130,1007,-3.67882,40.438561
1505106137,1007,-3.678936,40.438682
1505106138,1007,-3.679029,40.438774
1505106139,,-3.678742,40.438838
1505106140,,-3.67887,40.438964
1505106144,,-3.679207,40.438962
1505184312,1000,-3.680046,40.421843
1505184313,1000,-3.680298,40.422537
1505184314,1000,-3.680603,40.422632
1505184315,1000,-3.67997,40.422902
1505184316,1000,-3.680339,40.4229
1505184318,1000,-3.680291,40.423453
1505184320,,-3.68007,40.42357
1505184321,,-3.680439,40.423587
1505184322,,-3.680224,40.423713
1505184323,,-3.680317,40.423724
1505184324,,-3.680161,40.424461
1505184326,,-3.680144,40.424673
1505184327,,-3.680131,40.424821
1505184328,,-3.680228,40.42483
1505184329,,-3.679883,40.42499
1505184330,,-3.680116,40.425001
1505184331,,-3.680417,40.425014
1505184332,,-3.680103,40.425155
1505184334,,-3.680201,40.425163
1505184335,,-3.680031,40.426016
1505184336,,-3.680132,40.426035
1505184338,,-3.680021,40.426134
1505184339,,-3.680243,40.426144
1505184341,,-3.680115,40.426239
1505184344,,-3.680082,40.426651
1505184345,,-3.679942,40.427066
1505184347,,-3.679915,40.427397
1505184350,,-3.679724,40.427518
1505184351,,-3.679904,40.427526
1505184352,,-3.680153,40.427539
1505184354,,-3.679893,40.427633
1505184355,,-3.680004,40.42764
1505184356,,-3.679797,40.428794
1505184357,,-3.67991,40.428805
1505184359,,-3.679634,40.428908
1505184360,,-3.679787,40.428916
1505184361,,-3.68006,40.428931
1505184362,,-3.679891,40.429038
1505184363,,-3.679732,40.429563
1505184365,,-3.679849,40.429575
1505184366,,-3.679716,40.429757
1505184369,,-3.679068,40.430072
1505184376,,-3.680419,40.430145
1505184378,,-3.680179,40.430221
1505184380,,-3.679668,40.43033
1505184382,,-3.679657,40.430456
150540591,,-3.670842,40.425683
150540626,,-3.67107,40.423152
150540627,,-3.670896,40.424951
150540629,,-3.671004,40.423814
150540745,,-3.670486,40.430024
150541420,1007,-3.675484,40.435465
150541463,,-3.670413,40.43006
150541475,1007,-3.675351,40.435543
