,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
5109,:7/12_17,:7/12_17_0,0,22.70,"1068.65,1825.05 1075.39,1825.05 1080.00,1825.05 1084.61,1825.05 1091.35,1825.05",13.90
5110,:7/12_18,:7/12_18_0,0,20.97,"1068.65,1828.35 1074.34,1829.16 1078.40,1831.60 1080.84,1835.66 1081.65,1841.35",13.90
5111,:7/12_19,:7/12_19_0,0,4.82,"1068.65,1828.35 1069.89,1829.18 1070.30,1830.00 1069.89,1830.83 1068.65,1831.65",13.90
5112,:7/13_0,:7/13_0_0,0,5.00,"1071.75,1991.35 1071.56,1989.99 1070.97,1989.03 1070.01,1988.44 1068.65,1988.25",13.90
5113,:7/13_1,:7/13_1_0,0,22.70,"1071.75,1991.35 1071.75,1984.61 1071.75,1980.00 1071.75,1975.39 1071.75,1968.65",13.90
5114,:7/13_1,:7/13_1_1,1,22.70,"1075.05,1991.35 1075.05,1984.61 1075.05,1980.00 1075.05,1975.39 1075.05,1968.65",13.90
5115,:7/13_1,:7/13_1_2,2,22.70,"1078.35,1991.35 1078.35,1984.61 1078.35,1980.00 1078.35,1975.39 1078.35,1968.65",13.90
5116,:7/13_4,:7/13_4_0,0,7.47,"1078.35,1991.35 1079.16,1985.66 1080.05,1984.18",13.90
5117,:7/13_5,:7/13_5_0,0,2.41,"1078.35,1991.35 1079.18,1990.11 1080.00,1989.70",13.90
5118,:7/13_20,:7/13_20_0,0,13.50,"1080.05,1984.18 1081.60,1981.60 1085.66,1979.16 1091.35,1978.35",13.90
5119,:7/13_21,:7/13_21_0,0,2.41,"1080.00,1989.70 1080.83,1990.11 1081.65,1991.35",13.90
5120,:7/13_6,:7/13_6_0,0,5.00,"1091.35,1988.25 1089.99,1988.44 1089.03,1989.03 1088.44,1989.99 1088.25,1991.35",13.90
5121,:7/13_7,:7/13_7_0,0,22.70,"1091.35,1984.95 1084.61,1984.95 1080.00,1984.95 1075.39,1984.95 1068.65,1984.95",13.90
5122,:7/13_8,:7/13_8_0,0,20.97,"1091.35,1981.65 1085.66,1980.84 1081.60,1978.40 1079.16,1974.34 1078.35,1968.65",13.90
5123,:7/13_9,:7/13_9_0,0,4.82,"1091.35,1981.65 1090.11,1980.83 1089.70,1980.00 1090.11,1979.17 1091.35,1978.35",13.90
5124,:7/13_10,:7/13_10_0,0,5.00,"1088.25,1968.65 1088.44,1970.01 1089.03,1970.97 1089.99,1971.56 1091.35,1971.75",13.90
5125,:7/13_11,:7/13_11_0,0,22.70,"1088.25,1968.65 1088.25,1975.39 1088.25,1980.00 1088.25,1984.61 1088.25,1991.35",13.90
5126,:7/13_11,:7/13_11_1,1,22.70,"1084.95,1968.65 1084.95,1975.39 1084.95,1980.00 1084.95,1984.61 1084.95,1991.35",13.90
5127,:7/13_11,:7/13_11_2,2,22.70,"1081.65,1968.65 1081.65,1975.39 1081.65,1980.00 1081.65,1984.61 1081.65,1991.35",13.90
5128,:7/13_14,:7/13_14_0,0,7.47,"1081.65,1968.65 1080.84,1974.34 1079.95,1975.82",13.90
5129,:7/13_15,:7/13_15_0,0,2.41,"1081.65,1968.65 1080.83,1969.89 1080.00,1970.30",13.90
5130,:7/13_22,:7/13_22_0,0,13.50,"1079.95,1975.82 1078.40,1978.40 1074.34,1980.84 1068.65,1981.65",13.90
5131,:7/13_23,:7/13_23_0,0,2.41,"1080.00,1970.30 1079.18,1969.89 1078.35,1968.65",13.90
5132,:7/13_16,:7/13_16_0,0,5.00,"1068.65,1971.75 1070.01,1971.56 1070.97,1970.97 1071.56,1970.01 1071.75,1968.65",13.90
5133,:7/13_17,:7/13_17_0,0,22.70,"1068.65,1975.05 1075.39,1975.05 1080.00,1975.05 1084.61,1975.05 1091.35,1975.05",13.90
5134,:7/13_18,:7/13_18_0,0,20.97,"1068.65,1978.35 1074.34,1979.16 1078.40,1981.60 1080.84,1985.66 1081.65,1991.35",13.90
5135,:7/13_19,:7/13_19_0,0,4.82,"1068.65,1978.35 1069.89,1979.18 1070.30,1980.00 1069.89,1980.83 1068.65,1981.65",13.90
5136,:7/14_0,:7/14_0_0,0,5.00,"1071.75,2141.35 1071.56,2139.99 1070.97,2139.03 1070.01,2138.44 1068.65,2138.25",13.90
5137,:7/14_1,:7/14_1_0,0,22.70,"1071.75,2141.35 1071.75,2134.61 1071.75,2130.00 1071.75,2125.39 1071.75,2118.65",13.90
5138,:7/14_1,:7/14_1_1,1,22.70,"1075.05,2141.35 1075.05,2134.61 1075.05,2130.00 1075.05,2125.39 1075.05,2118.65",13.90
5139,:7/14_1,:7/14_1_2,2,22.70,"1078.35,2141.35 1078.35,2134.61 1078.35,2130.00 1078.35,2125.39 1078.35,2118.65",13.90
5140,:7/14_4,:7/14_4_0,0,7.47,"1078.35,2141.35 1079.16,2135.66 1080.05,2134.18",13.90
5141,:7/14_5,:7/14_5_0,0,2.41,"1078.35,2141.35 1079.18,2140.11 1080.00,2139.70",13.90
5142,:7/14_20,:7/14_20_0,0,13.50,"1080.05,2134.18 1081.60,2131.60 1085.66,2129.16 1091.35,2128.35",13.90
5143,:7/14_21,:7/14_21_0,0,2.41,"1080.00,2139.70 1080.83,2140.11 1081.65,2141.35",13.90
5144,:7/14_6,:7/14_6_0,0,5.00,"1091.35,2138.25 1089.99,2138.44 1089.03,2139.03 1088.44,2139.99 1088.25,2141.35",13.90
5145,:7/14_7,:7/14_7_0,0,22.70,"1091.35,2134.95 1084.61,2134.95 1080.00,2134.95 1075.39,2134.95 1068.65,2134.95",13.90
5146,:7/14_8,:7/14_8_0,0,20.97,"1091.35,2131.65 1085.66,2130.84 1081.60,2128.40 1079.16,2124.34 1078.35,2118.65",13.90
5147,:7/14_9,:7/14_9_0,0,4.82,"1091.35,2131.65 1090.11,2130.83 1089.70,2130.00 1090.11,2129.17 1091.35,2128.35",13.90
