id,veh_type,t_depart_secs,t_arrival_secs,t_traveltime_secs,origin,destiny,route_detail,route_path_num,is_attended,has_finished
2741,car,524,789,265,top2to2/15,14/9to14/8,top2to2/15:2/15to2/14:2/14to2/13:2/13to2/12:2/12to2/11:2/11to2/10:2/10to2/9:2/9to3/9:3/9to4/9:4/9to5/9:5/9to6/9:6/9to7/9:7/9to8/9:8/9to9/9:9/9to10/9:10/9to11/9:11/9to12/9:12/9to13/9:13/9to14/9:14/9to14/8:,20,True,True
3260,car,524,723,199,11/7to11/8,6/1to6/0,11/7to11/8:11/8to10/8:10/8to9/8:9/8to8/8:8/8to7/8:7/8to6/8:6/8to6/7:6/7to6/6:6/6to6/5:6/5to6/4:6/4to6/3:6/3to6/2:6/2to6/1:6/1to6/0:,14,False,True
3102,car,524,637,113,11/8to10/8,10/7to9/7,11/8to10/8:10/8to10/7:10/7to9/7:,3,False,True
3006,car,525,768,243,top2to2/15,12/10to13/10,top2to2/15:2/15to2/14:2/14to2/13:2/13to2/12:2/12to3/12:3/12to4/12:4/12to5/12:5/12to6/12:6/12to7/12:7/12to8/12:8/12to9/12:9/12to10/12:10/12to10/11:10/11to11/11:11/11to12/11:12/11to12/10:12/10to13/10:,17,True,True
1810,car,525,825,300,3/1to3/0,12/11to13/11,3/1to3/0:3/0to4/0:4/0to5/0:5/0to6/0:6/0to7/0:7/0to8/0:8/0to9/0:9/0to10/0:10/0to10/1:10/1to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to11/11:11/11to12/11:12/11to13/11:,22,False,True
622,car,526,747,221,13/3to13/4,3/6to4/6,13/3to13/4:13/4to12/4:12/4to11/4:11/4to10/4:10/4to9/4:9/4to8/4:8/4to7/4:7/4to6/4:6/4to5/4:5/4to4/4:4/4to3/4:3/4to3/5:3/5to3/6:3/6to4/6:,14,True,True
2375,car,526,636,110,7/1to6/1,3/5to4/5,7/1to6/1:6/1to5/1:5/1to4/1:4/1to3/1:3/1to3/2:3/2to3/3:3/3to3/4:3/4to3/5:3/5to4/5:,9,False,True
908,car,526,803,277,8/6to8/5,13/8to13/9,8/6to8/5:8/5to9/5:9/5to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to11/8:11/8to12/8:12/8to13/8:13/8to13/9:,10,False,True
61,car,526,905,379,left15to0/15,15/0tobottom15,left15to0/15:0/15to0/14:0/14to0/13:0/13to0/12:0/12to0/11:0/11to0/10:0/10to0/9:0/9to0/8:0/8to0/7:0/7to0/6:0/6to0/5:0/5to0/4:0/4to0/3:0/3to0/2:0/2to0/1:0/1to0/0:0/0to1/0:1/0to2/0:2/0to3/0:3/0to4/0:4/0to5/0:5/0to6/0:6/0to7/0:7/0to8/0:8/0to9/0:9/0to10/0:10/0to11/0:11/0to12/0:12/0to13/0:13/0to14/0:14/0to15/0:15/0tobottom15:,32,True,True
1389,car,527,689,162,11/14to11/13,12/2to12/3,11/14to11/13:11/13to11/12:11/12to11/11:11/11to11/10:11/10to11/9:11/9to11/8:11/8to11/7:11/7to11/6:11/6to11/5:11/5to11/4:11/4to11/3:11/3to11/2:11/2to12/2:12/2to12/3:,14,False,True
1841,car,527,602,75,9/4to9/5,7/4to8/4,9/4to9/5:9/5to8/5:8/5to7/5:7/5to7/4:7/4to8/4:,5,True,True
2031,car,527,596,69,2/3to1/3,1/6to0/6,2/3to1/3:1/3to1/4:1/4to1/5:1/5to1/6:1/6to0/6:,5,False,True
2643,car,527,612,85,8/3to9/3,12/3to12/4,8/3to9/3:9/3to9/2:9/2to10/2:10/2to11/2:11/2to11/3:11/3to12/3:12/3to12/4:,7,True,True
50,motorcycle,527,926,399,left15to0/15,15/0tobottom15,left15to0/15:0/15to1/15:1/15to2/15:2/15to3/15:3/15to4/15:4/15to5/15:5/15to6/15:6/15to7/15:7/15to8/15:8/15to9/15:9/15to10/15:10/15to10/14:10/14to10/13:10/13to10/12:10/12to10/11:10/11to10/10:10/10to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to10/1:10/1to10/0:10/0to11/0:11/0to12/0:12/0to13/0:13/0to14/0:14/0to15/0:15/0tobottom15:,32,False,True
1178,car,528,708,180,7/9to7/10,0/12toleft12,7/9to7/10:7/10to6/10:6/10to5/10:5/10to4/10:4/10to3/10:3/10to2/10:2/10to1/10:1/10to0/10:0/10to0/11:0/11to0/12:0/12toleft12:,11,False,True
999,car,528,763,235,bottom11to11/0,15/15totop15,bottom11to11/0:11/0to11/1:11/1to11/2:11/2to11/3:11/3to11/4:11/4to11/5:11/5to11/6:11/6to11/7:11/7to11/8:11/8to11/9:11/9to11/10:11/10to11/11:11/11to11/12:11/12to11/13:11/13to11/14:11/14to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15totop15:,21,False,True
2738,car,529,804,275,14/7to14/8,3/1to3/0,14/7to14/8:14/8to13/8:13/8to12/8:12/8to11/8:11/8to10/8:10/8to9/8:9/8to8/8:8/8to7/8:7/8to6/8:6/8to5/8:5/8to4/8:4/8to3/8:3/8to3/7:3/7to3/6:3/6to3/5:3/5to3/4:3/4to3/3:3/3to3/2:3/2to3/1:3/1to3/0:,20,True,True
196,car,529,935,406,left0to0/0,15/15totop15,left0to0/0:0/0to0/1:0/1to0/2:0/2to0/3:0/3to0/4:0/4to0/5:0/5to0/6:0/6to0/7:0/7to0/8:0/8to0/9:0/9to0/10:0/10to0/11:0/11to0/12:0/12to0/13:0/13to0/14:0/14to1/14:1/14to2/14:2/14to3/14:3/14to4/14:4/14to5/14:5/14to6/14:6/14to7/14:7/14to8/14:8/14to9/14:9/14to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15totop15:,32,True,True
2574,car,530,678,148,4/11to5/11,5/0to4/0,4/11to5/11:5/11to5/10:5/10to5/9:5/9to5/8:5/8to5/7:5/7to5/6:5/6to5/5:5/5to5/4:5/4to5/3:5/3to5/2:5/2to5/1:5/1to5/0:5/0to4/0:,13,True,True
680,car,530,694,164,9/12to10/12,9/3to9/2,9/12to10/12:10/12to10/11:10/11to9/11:9/11to8/11:8/11to8/10:8/10to8/9:8/9to8/8:8/8to8/7:8/7to8/6:8/6to8/5:8/5to8/4:8/4to8/3:8/3to9/3:9/3to9/2:,14,True,True
1922,car,530,600,70,7/1to6/1,3/1to3/0,7/1to6/1:6/1to5/1:5/1to4/1:4/1to3/1:3/1to3/0:,5,False,True
1332,car,531,600,69,6/7to6/8,6/12to6/13,6/7to6/8:6/8to6/9:6/9to6/10:6/10to6/11:6/11to6/12:6/12to6/13:,6,True,True
869,car,531,782,251,5/3to6/3,13/15totop13,5/3to6/3:6/3to6/4:6/4to6/5:6/5to6/6:6/6to6/7:6/7to6/8:6/8to6/9:6/9to6/10:6/10to6/11:6/11to6/12:6/12to6/13:6/13to6/14:6/14to7/14:7/14to8/14:8/14to9/14:9/14to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15to13/15:13/15totop13:,21,True,True
905,car,531,662,131,10/15to10/14,10/7to9/7,10/15to10/14:10/14to9/14:9/14to9/13:9/13to9/12:9/12to9/11:9/11to9/10:9/10to9/9:9/9to10/9:10/9to10/8:10/8to10/7:10/7to9/7:,11,True,True
9,car,532,917,385,left15to0/15,15/0tobottom15,left15to0/15:0/15to1/15:1/15to2/15:2/15to3/15:3/15to4/15:4/15to5/15:5/15to6/15:6/15to7/15:7/15to8/15:8/15to9/15:9/15to10/15:10/15to10/14:10/14to10/13:10/13to10/12:10/12to10/11:10/11to10/10:10/10to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to10/1:10/1to10/0:10/0to11/0:11/0to12/0:12/0to13/0:13/0to14/0:14/0to15/0:15/0tobottom15:,32,False,True
1875,car,532,702,170,15/3to15/2,9/2to9/1,15/3to15/2:15/2to14/2:14/2to13/2:13/2to12/2:12/2to11/2:11/2to10/2:10/2to9/2:9/2to9/1:,8,False,True
149,motorcycle,532,939,407,left0to0/0,15/15totop15,left0to0/0:0/0to0/1:0/1to0/2:0/2to0/3:0/3to0/4:0/4to0/5:0/5to0/6:0/6to0/7:0/7to0/8:0/8to0/9:0/9to0/10:0/10to0/11:0/11to0/12:0/12to0/13:0/13to0/14:0/14to1/14:1/14to2/14:2/14to3/14:3/14to4/14:4/14to5/14:5/14to6/14:6/14to7/14:7/14to8/14:8/14to9/14:9/14to10/14:10/14to10/15:10/15to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15totop15:,32,True,True
2206,car,532,847,315,2/15to3/15,14/3to15/3,2/15to3/15:3/15to3/14:3/14to3/13:3/13to3/12:3/12to3/11:3/11to3/10:3/10to3/9:3/9to3/8:3/8to3/7:3/7to3/6:3/6to3/5:3/5to4/5:4/5to5/5:5/5to6/5:6/5to7/5:7/5to8/5:8/5to9/5:9/5to10/5:10/5to10/4:10/4to11/4:11/4to11/3:11/3to12/3:12/3to13/3:13/3to14/3:14/3to15/3:,25,True,True
3055,car,533,710,177,9/15to8/15,0/13to0/12,9/15to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to4/15:4/15to3/15:3/15to2/15:2/15to1/15:1/15to0/15:0/15to0/14:0/14to0/13:0/13to0/12:,12,True,True
527,car,533,804,271,12/3to11/3,3/12to2/12,12/3to11/3:11/3to10/3:10/3to9/3:9/3to8/3:8/3to7/3:7/3to6/3:6/3to5/3:5/3to4/3:4/3to3/3:3/3to3/4:3/4to3/5:3/5to3/6:3/6to3/7:3/7to3/8:3/8to3/9:3/9to3/10:3/10to3/11:3/11to3/12:3/12to2/12:,19,False,True
626,car,534,650,116,7/4to8/4,10/4to10/5,7/4to8/4:8/4to9/4:9/4to10/4:10/4to10/5:,4,True,True
1259,motorcycle,534,664,130,9/7to8/7,8/15to9/15,9/7to8/7:8/7to8/8:8/8to8/9:8/9to8/10:8/10to8/11:8/11to8/12:8/12to8/13:8/13to8/14:8/14to8/15:8/15to9/15:,10,True,True
986,car,535,632,97,4/5to4/4,1/2to2/2,4/5to4/4:4/4to3/4:3/4to2/4:2/4to1/4:1/4to1/3:1/3to1/2:1/2to2/2:,7,False,True
