,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
986,:10/2_15,:10/2_15_0,0,2.41,"1531.65,318.65 1530.82,319.89 1530.00,320.30",13.90
987,:10/2_10,:10/2_10_0,0,5.00,"1538.25,318.65 1538.44,320.01 1539.03,320.98 1539.99,321.56 1541.35,321.75",13.90
988,:10/2_11,:10/2_11_2,2,22.70,"1531.65,318.65 1531.65,325.39 1531.65,330.00 1531.65,334.61 1531.65,341.35",13.90
989,:10/0_14,:10/0_14_0,0,7.47,"1531.65,18.65 1530.84,24.34 1529.95,25.82",13.90
990,:10/0_15,:10/0_15_0,0,2.41,"1531.65,18.65 1530.82,19.89 1530.00,20.30",13.90
991,:10/0_16,:10/0_16_0,0,5.00,"1518.65,21.75 1520.01,21.56 1520.97,20.98 1521.56,20.01 1521.75,18.65",13.90
992,:10/0_17,:10/0_17_0,0,22.70,"1518.65,25.05 1525.39,25.05 1530.00,25.05 1534.61,25.05 1541.35,25.05",13.90
993,:2/5_22,:2/5_22_0,0,13.50,"329.95,775.82 328.40,778.40 324.34,780.84 318.65,781.65",13.90
994,:10/0_11,:10/0_11_2,2,22.70,"1531.65,18.65 1531.65,25.39 1531.65,30.00 1531.65,34.61 1531.65,41.35",13.90
995,:2/5_20,:2/5_20_0,0,13.50,"330.05,784.18 331.60,781.60 335.66,779.16 341.35,778.35",13.90
996,:2/5_21,:2/5_21_0,0,2.41,"330.00,789.70 330.82,790.11 331.65,791.35",13.90
997,:10/0_18,:10/0_18_0,0,20.97,"1518.65,28.35 1524.34,29.16 1528.40,31.60 1530.84,35.66 1531.65,41.35",13.90
998,:10/0_19,:10/0_19_0,0,4.82,"1518.65,28.35 1519.89,29.17 1520.30,30.00 1519.89,30.82 1518.65,31.65",13.90
999,:5/9_23,:5/9_23_0,0,2.41,"780.00,1370.30 779.17,1369.89 778.35,1368.65",13.90
